Timestep  Iteration  resNorm(0)  resNorm(1)  
122  2  0.0000082787540201  0.0008304320726282  
123  1  0.0051343791064194  0.0047302418891890  
123  2  0.0000098709633388  0.0008277539244377  
124  1  0.0030554249315257  0.0038134033890552  
124  2  0.0000224070037576  0.0009172951700271  
125  1  0.0047278254921832  0.0030941664144257  
125  2  0.0000104758819460  0.0006099464179136  
126  1  0.0049950419306823  0.0019301338561410  
126  2  0.0000076234355248  0.0011669272214574  
126  3  0.0000047594582952  0.0001798033554566  
127  1  0.0034553177374286  0.0023779773768627  
127  2  0.0000165914601257  0.0020493087907194  
127  3  0.0000067469483098  0.0001888991926228  
128  1  0.0042272778926556  0.0036546246796987  
128  2  0.0000145946254333  0.0006610150016993  
129  1  0.0043460616422747  0.0018226702763796  
129  2  0.0000081544384708  0.0005807092588544  
130  1  0.0040223530681904  0.0027301658671739  
130  2  0.0000098534490075  0.0006642241947635  
131  1  0.0048411784098593  0.0048961235056344  
131  2  0.0000172923003011  0.0011985063358834  
131  3  0.0000067923023825  0.0000257817922429  
132  1  0.0043038439809650  0.0039582621027433  
132  2  0.0000108908043444  0.0003012373885722  
133  1  0.0039741358141830  0.0025347923248472  
133  2  0.0000125171369351  0.0010360324769634  
133  3  0.0000096223581920  0.0001368110488175  
134  1  0.0046660902163507  0.0019311489384621  
134  2  0.0000061623150167  0.0007117988373958  
135  1  0.0034412435578014  0.0009740227845699  
135  2  0.0000043396714769  0.0010761331840927  
135  3  0.0000046988898177  0.0004756853895437  
136  1  0.0039721818211842  0.0020057879579457  
136  2  0.0000064331881317  0.0008069307867030  
137  1  0.0048621336455761  0.0015266941994858  
137  2  0.0000060196100184  0.0005631864876403  
138  1  0.0024656256169905  0.0028917776425410  
138  2  0.0000142767913434  0.0006154542389937  
139  1  0.0051493591812671  0.0049540840456487  
139  2  0.0000217097950132  0.0008163930192896  
140  1  0.0040221424438877  0.0044095720443091  
140  2  0.0000157154795695  0.0005402303757767  
141  1  0.0037600650623756  0.0019623190120757  
141  2  0.0000123136652198  0.0003937495582113  
142  1  0.0064585628936485  0.0022446137563898  
142  2  0.0000051910066133  0.0009787220777376  
143  1  0.0029429843174998  0.0024273077645481  
143  2  0.0000162210997341  0.0003248477287250  
144  1  0.0045644347483769  0.0010376776590285  
144  2  0.0000069417681276  0.0009728133433651  
145  1  0.0053179781560877  0.0017630131303386  
145  2  0.0000062806501246  0.0014246509988488  
145  3  0.0000053573295056  0.0002441415913581  
146  1  0.0019968317065943  0.0025563667560571  
146  2  0.0000172240071984  0.0005707518639300  
147  1  0.0042625093879294  0.0038910966322028  
